,origin,destination,count
1051,60750105002.,60750117002.,112
29731,60759809001.,60750209001.,96
1005,60750105002.,60750101011.,83
173,60750101011.,60750610003.,82
28264,60750615012.,60750610003.,80
3354,60750117002.,60750105002.,74
29525,60759809001.,60750123013.,73
28227,60750615012.,60750258002.,69
27328,60750610003.,60750615012.,68
5755,60750123013.,60750610003.,65
3338,60750117002.,60750101011.,65
3627,60750117002.,60750611012.,64
29974,60759809001.,60750615012.,63
27345,60750610003.,60759809001.,63
29732,60759809001.,60750209002.,61
3388,60750117002.,60750117004.,60
13,60750101011.,60750105001.,59
14,60750101011.,60750105002.,57
3381,60750117002.,60750112002.,56
29962,60759809001.,60750610003.,55
29502,60759809001.,60750117003.,52
29958,60759809001.,60750607032.,52
29730,60759809001.,60750208022.,50
29727,60759809001.,60750208012.,50
29718,60759809001.,60750206012.,48
14235,60750176023.,60750610003.,47
29030,60750615071.,60750117002.,46
26888,60750610003.,60750101011.,45
29734,60759809001.,60750209004.,44
29670,60759809001.,60750176023.,44
29975,60759809001.,60750615013.,44
1046,60750105002.,60750112002.,42
29726,60759809001.,60750208011.,41
21493,60750258002.,60750615012.,41
29728,60759809001.,60750208013.,41
3409,60750117002.,60750123013.,41
3846,60750117003.,60750610003.,40
29455,60759809001.,60750101011.,39
39,60750101011.,60750117002.,39
3631,60750117002.,60750615012.,39
29671,60759809001.,60750176031.,38
29497,60759809001.,60750112002.,38
21506,60750258002.,60759809001.,38
29005,60750615071.,60750105002.,37
1020,60750105002.,60750105001.,37
3393,60750117002.,60750119021.,36
28432,60750615013.,60750610003.,35
894,60750105001.,60750101011.,35
3630,60750117002.,60750615011.,35
28179,60750615012.,60750176023.,34
7742,60750128021.,60750117002.,34
3809,60750117003.,60750258002.,34
29691,60759809001.,60750180002.,33
3643,60750117002.,60750615071.,33
4337,60750119021.,60750117002.,33
27844,60750615011.,60750117002.,33
3385,60750117002.,60750117001.,33
4407,60750119021.,60750610003.,32
151,60750101011.,60750258002.,32
29749,60759809001.,60750214002.,32
3378,60750117002.,60750111021.,32
408,60750102021.,60750101011.,31
3358,60750117002.,60750106003.,31
29679,60759809001.,60750177002.,31
29717,60759809001.,60750206011.,31
27315,60750610003.,60750607032.,31
3913,60750117004.,60750117002.,31
29750,60759809001.,60750214003.,31
1234,60750105002.,60750611012.,30
1986,60750109021.,60750117002.,30
29741,60759809001.,60750211003.,30
28665,60750615031.,60750610003.,30
3914,60750117004.,60750117003.,29
3387,60750117002.,60750117003.,29
8411,60750130021.,60750105002.,29
15631,60750180002.,60750607032.,29
26952,60750610003.,60750123013.,29
29806,60759809001.,60750253004.,29
28410,60750615013.,60750258002.,29
3625,60750117002.,60750610003.,29
29706,60759809001.,60750203003.,28
29508,60759809001.,60750119021.,28
28105,60750615012.,60750123013.,28
932,60750105001.,60750117002.,28
29720,60759809001.,60750206022.,28
2711,60750111021.,60750117002.,28
3369,60750117002.,60750109022.,28
3086,60750112002.,60750610003.,28
4102,60750117004.,60750615012.,28
29796,60759809001.,60750251001.,28
21140,60750258002.,60750101011.,28
28086,60750615012.,60750117003.,28
29696,60759809001.,60750201021.,28
3632,60750117002.,60750615013.,28
1238,60750105002.,60750615011.,27
29827,60759809001.,60750258002.,27
28313,60750615013.,60750117002.,27
8247,60750130011.,60750117002.,27
14102,60750176023.,60750123013.,27
7281,60750126021.,60750117002.,27
29777,60759809001.,60750228022.,27
5759,60750123013.,60750615012.,27
3852,60750117003.,60750615012.,27
5728,60750123013.,60750258002.,27
29978,60759809001.,60750615031.,26
29766,60759809001.,60750226001.,26
7899,60750129011.,60750117002.,26
29697,60759809001.,60750201022.,26
6022,60750123023.,60750610003.,26
7015,60750125032.,60750610003.,26
29781,60759809001.,60750229011.,26
29729,60759809001.,60750208021.,26
5603,60750123013.,60750117002.,26
26932,60750610003.,60750117003.,25
3368,60750117002.,60750109021.,25
28059,60750615012.,60750105002.,25
2474,60750111011.,60750117002.,25
28085,60750615012.,60750117002.,25
5588,60750123013.,60750105002.,25
3375,60750117002.,60750111011.,24
29169,60750615071.,60750615011.,24
21192,60750258002.,60750123013.,24
