,A,B,Distance
0,51454,55617,1035.192169624683
1,51454,56429,933.4687392007736
2,51454,59899,1234.2459355704702
3,51454,60664,1239.9724808019903
4,51454,77647,429.4704847858746
5,51454,82482,1368.4551760039228
6,51454,111861,1409.8809059774826
7,51454,114629,1367.0817508338034
8,51454,116570,1764.0093341697188
9,51454,132278,1383.6658965177635
10,51454,136899,1328.679839802056
11,51454,143362,1442.0155466916772
12,51454,143368,1462.649813315011
13,51454,221089,1445.104955505611
14,51454,221744,1480.1176576900762
15,51454,222334,680.4651896517005
16,51454,230191,865.7405539374524
17,51454,248905,1443.4570075508734
18,51454,252995,1587.537076406952
19,51454,263092,1543.0648931709518
20,51454,263854,1519.5800484591875
21,51454,265983,1505.91470720664
22,51454,269211,1521.5850447851035
23,51454,285696,1491.4844956722345
24,51454,297115,1564.8064138426641
25,51454,304881,747.1768887562196
26,51454,316066,842.7744794006389
27,51454,316476,1298.7951684544607
28,51454,320025,1619.2795048326448
29,51454,348091,1402.4804578951037
30,51454,365324,1455.267582140052
31,51454,394254,1381.0477160028452
32,51454,415527,1324.1348446833301
33,51454,452963,1486.374267857299
34,51454,453327,1386.962680748079
35,51454,468864,1451.218405266644
36,51454,483078,1411.1208074549365
37,51454,483080,1341.4113883375628
38,51454,536139,1478.3192258117872
39,51454,536821,1392.1085801307365
40,51454,541321,1441.7674561245537
41,51454,560265,1523.3369892322714
42,51454,583297,1517.177503687955
43,51454,583687,1500.4190731416047
44,51454,583787,1440.3136336957086
45,51454,589641,1459.6039192112867
46,51454,589709,1503.7250427064907
47,51454,604853,2076.745405285387
48,51454,622595,1319.3217679482154
49,51454,627915,620.0349932680543
50,51454,630059,1417.5923744323181
51,51454,631167,1625.1397625880884
52,51454,631297,1472.549910309234
53,51454,634874,1393.5702484670326
54,51454,661145,1589.0890396952932
55,51454,693072,1480.1468469603371
56,51454,764562,1029.1392437043842
57,51454,765010,1253.6340726405933
58,51454,765092,1508.023167313218
59,51454,765170,1490.5672707907884
60,51454,765262,381.0715096106004
61,51454,773072,806.1993959957376
62,51454,789018,549.1336849417484
63,51454,835244,1474.928532996947
64,51454,837321,1243.788664608605
65,51454,902939,1321.2585304565082
66,51454,925180,1214.2491526970302
67,55617,51454,746.9253617853144
68,55617,56429,522.8121764666205
69,55617,59899,1323.215704539477
70,55617,60664,1349.8048351927175
71,55617,77647,925.1335801112481
72,55617,82482,1886.7093686458293
73,55617,111861,1443.2261685883334
74,55617,114629,1400.2214721727457
75,55617,116570,1341.2550106507822
76,55617,132278,1367.3713568421388
77,55617,136899,1264.7928300661972
78,55617,143362,1400.8638752490538
79,55617,143368,1399.7698405228923
80,55617,221089,1929.404034831266
81,55617,221744,1335.0330937853237
82,55617,222334,627.9688048533895
83,55617,230191,884.7184502841972
84,55617,248905,1332.5712114012915
85,55617,252995,1651.6154767265018
86,55617,263092,1646.593045043602
87,55617,263854,1306.1064361683596
88,55617,265983,1392.1359964402727
89,55617,269211,1363.6830400723252
90,55617,285696,1356.9457424585758
91,55617,297115,1448.1778559812244
92,55617,304881,629.5933546188011
93,55617,316066,838.7326953003356
94,55617,316476,1882.8660819610338
95,55617,320025,1489.4831377879916
96,55617,348091,1431.5146722375534
97,55617,365324,1403.5439646536295
98,55617,394254,1393.5942134624972
99,55617,415527,1277.2135301965186
100,55617,452963,1286.2524685666021
101,55617,453327,1850.9562108632178
102,55617,468864,1850.4903413661373
103,55617,483078,1784.9655159470303
104,55617,483080,1391.559973897893
105,55617,536139,1399.7017915829258
106,55617,536821,1304.1638676910452
107,55617,541321,1408.8427081660334
108,55617,560265,1438.5867962311793
109,55617,583297,1304.3898653871865
110,55617,583687,1398.988609070143
111,55617,583787,1393.7693649963812
112,55617,589641,1395.5430890320345
113,55617,589709,1401.0655337647436
114,55617,604853,2475.255956764555
115,55617,622595,1339.3375827518735
116,55617,627915,896.8896942970243
117,55617,630059,1460.2030055884657
118,55617,631167,1500.8002640432926
119,55617,631297,1401.719352320676
120,55617,634874,1502.568470802221
121,55617,661145,1662.4445911086962
122,55617,693072,1404.9125896743165
123,55617,764562,316.97331334987956
124,55617,765010,1310.8746018648417
125,55617,765092,1306.5779001390465
126,55617,765170,1285.3625670370109
127,55617,765262,996.2333177413623
128,55617,773072,1064.5928187658224
129,55617,789018,739.7169752739637
130,55617,835244,1157.1861435092899
131,55617,837321,1403.3576870265806
132,55617,902939,1905.1681555429238
133,55617,925180,1419.2454326072686
134,56429,51454,821.8311438676309
135,56429,55617,522.8121764666205
136,56429,59899,1345.979755552417
137,56429,60664,1361.8708032547577
138,56429,77647,969.282082989523
139,56429,82482,1578.1147578913576
140,56429,111861,1462.4087940721572
141,56429,114629,1448.8795401626974
142,56429,116570,1467.2084058864762
143,56429,132278,1459.0032267554627
144,56429,136899,1421.9381573870544
145,56429,143362,1563.4254297338111
146,56429,143368,1496.2416808057992
147,56429,221089,1666.7910521057224
148,56429,221744,1558.4107851995007
149,56429,222334,685.9747936757778
150,56429,230191,733.8964799092843
151,56429,248905,1562.4277852357548
152,56429,252995,1524.5429479283182
153,56429,263092,1555.8269569269835
154,56429,263854,1538.0430110368623
155,56429,265983,1526.3978976985452
156,56429,269211,1540.4459143002543
157,56429,285696,1561.4307142853802
158,56429,297115,1688.5765060108217
159,56429,304881,481.2866945927601
160,56429,316066,878.4899521023206
161,56429,316476,1620.4802931733066
162,56429,320025,1608.1574661837085
163,56429,348091,1456.3868596906204
164,56429,365324,1566.0333636467312
165,56429,394254,1505.8351149125535
166,56429,415527,1332.1349006071518
167,56429,452963,1511.7323282382954
168,56429,453327,1589.805710944428
169,56429,468864,1330.9601084074907
170,56429,483078,1478.641058758476
171,56429,483080,1430.2610809965286
172,56429,536139,1505.4840088712517
173,56429,536821,1451.1830461124525
174,56429,541321,1537.0313934043788
175,56429,560265,1464.6805193192902
176,56429,583297,1537.4307020312012
177,56429,583687,1522.382190432708
178,56429,583787,1555.1606918431996
179,56429,589641,1549.4552480574746
180,56429,589709,1541.4754306554537
181,56429,604853,1952.5609139621452
182,56429,622595,1442.8732367835626
183,56429,627915,979.4589624377467
184,56429,630059,1467.2456195961593
185,56429,631167,1637.506942121987
186,56429,631297,1502.419917854685
187,56429,634874,1628.2307889941455
188,56429,661145,1526.5123116012917
189,56429,693072,1508.2005317387532
190,56429,764562,290.4051355270075
191,56429,765010,1359.9288195280635
192,56429,765092,1529.1719385028302
193,56429,765170,1516.741749208636
194,56429,765262,1092.9278904877867
195,56429,773072,1092.3957955695973
196,56429,789018,734.4129325589604
197,56429,835244,1505.5654117524255
198,56429,837321,1365.7514626393536
199,56429,902939,1642.9446727732643
200,56429,925180,1345.881918660992
201,59899,51454,1539.4420651115552
202,59899,55617,1508.1138085933878
203,59899,56429,1552.2249721942921
204,59899,60664,742.5303272982644
205,59899,77647,1548.8463627746353
206,59899,82482,1177.5054349893476
207,59899,111861,859.4321485515143
208,59899,114629,869.2240243846637
209,59899,116570,1859.8736527888846
210,59899,132278,753.447832755632
211,59899,136899,876.949834657934
212,59899,143362,792.0015344615674
213,59899,143368,829.5131270228792
214,59899,221089,2336.273593993489
215,59899,221744,741.9923254260389
216,59899,222334,1439.0310655346389
217,59899,230191,1550.755573455955
218,59899,248905,726.6013765310727
219,59899,252995,2365.758759322062
220,59899,263092,1156.2376951733531
221,59899,263854,626.8991622818633
222,59899,265983,713.4311221892999
223,59899,269211,830.1913734698558
224,59899,285696,1138.9031818382327
225,59899,297115,881.705709336463
226,59899,304881,1549.856551859202
227,59899,316066,1549.8132002982882
228,59899,316476,1481.3769581542545
229,59899,320025,1487.4859227258253
230,59899,348091,924.5537399681108
231,59899,365324,784.2180944153641
232,59899,394254,912.6456016831899
233,59899,415527,954.9572915843474
234,59899,452963,741.8046879914704
235,59899,453327,1132.070402705044
236,59899,468864,2427.913272307789
237,59899,483078,1022.7992949819267
238,59899,483080,966.9813567363151
239,59899,536139,744.6609307200548
240,59899,536821,963.5331323823111
241,59899,541321,795.235624784686
242,59899,560265,1318.8121427269737
243,59899,583297,864.6229519280829
244,59899,583687,844.008767876214
245,59899,583787,839.1268391774096
246,59899,589641,910.3572124597772
247,59899,589709,822.3557236663104
248,59899,604853,2681.2163206949
249,59899,622595,436.5655185630202
250,59899,627915,1578.4121180869295
251,59899,630059,893.4006654862612
252,59899,631167,2626.774784759236
253,59899,631297,839.7094480655499
254,59899,634874,1220.1610976785735
255,59899,661145,2573.0403228240725
256,59899,693072,749.3170434979279
257,59899,764562,1571.5033413728997
258,59899,765010,985.2211421333317
259,59899,765092,697.0772254223828
260,59899,765170,711.3939330462032
261,59899,765262,1578.8122785731152
262,59899,773072,1508.8846177557966
263,59899,789018,1520.5524183905118
264,59899,835244,1008.6275940374123
265,59899,837321,847.8005130303844
266,59899,902939,1478.5271424036398
267,59899,925180,835.7458052943487
268,60664,51454,1602.651260573682
269,60664,55617,1669.7919485703928
270,60664,56429,1675.1688721289047
271,60664,59899,1062.015844358362
272,60664,77647,1593.998922896326
273,60664,82482,1573.6833014155313
274,60664,111861,687.5788568603807
275,60664,114629,753.3976783596545
276,60664,116570,1463.7181075000044
277,60664,132278,743.2274748747886
278,60664,136899,1293.6792289006396
279,60664,143362,648.9373486660905
280,60664,143368,590.0723402055952
281,60664,221089,2439.248080479798
282,60664,221744,507.1719597670983
283,60664,222334,1337.8670233713574
284,60664,230191,1223.7271374690506
285,60664,248905,536.016567057344
286,60664,252995,2119.9452906950623
287,60664,263092,972.1531820873829
288,60664,263854,1330.248756570024
289,60664,265983,661.6756077760692
290,60664,269211,708.5642998299121
291,60664,285696,1353.3780456939617
292,60664,297115,451.0079322344013
293,60664,304881,1388.3293672312068
294,60664,316066,1251.9982299165297
295,60664,316476,1478.940480294318
296,60664,320025,990.23128788337
297,60664,348091,965.6157882207564
298,60664,365324,427.0986626093075
299,60664,394254,1324.7343659331405
300,60664,415527,1090.6156946493797
301,60664,452963,1304.2846027090018
302,60664,453327,1230.4749281935276
303,60664,468864,2305.2899702807504
304,60664,483078,856.8383457606419
305,60664,483080,1344.4575020406462
306,60664,536139,689.0617356215887
307,60664,536821,706.9331242763703
308,60664,541321,613.619793893466
309,60664,560265,1692.0024679004982
310,60664,583297,1070.8463160548697
311,60664,583687,661.5781385635337
312,60664,583787,549.7794882043858
313,60664,589641,491.86157082531565
314,60664,589709,594.8201632507329
315,60664,604853,2441.260382944016
316,60664,622595,1297.7870353716257
317,60664,627915,1692.0686541163636
318,60664,630059,913.4234548051381
319,60664,631167,2491.487969159912
320,60664,631297,709.7281620776266
321,60664,634874,1307.0097536303454
322,60664,661145,2322.4800721735996
323,60664,693072,756.1298200452268
324,60664,764562,1629.4148842959014
325,60664,765010,541.544513084161
326,60664,765092,672.4957900257692
327,60664,765170,985.9029797600458
328,60664,765262,1708.8292894397553
329,60664,773072,1246.5271100702487
330,60664,789018,1397.2931312098203
331,60664,835244,569.5431728197844
332,60664,837321,873.6650284618781
333,60664,902939,1466.7809526014435
334,60664,925180,288.48448710905564
335,77647,51454,378.259448793956
336,77647,55617,1076.7378393103938
337,77647,56429,959.2720720002567
338,77647,59899,1268.462020382601
