,A,B,Distance
0,6773.0,151125.0,452564.0360081706
1,6773.0,198441.0,442549.566292168
2,6773.0,282354.0,385679.7813062692
3,6773.0,326349.0,493740.1140626093
4,6773.0,394249.0,625512.9096109694
5,6773.0,453866.0,400373.10914592736
6,6773.0,485100.0,556683.3565145764
7,6773.0,564042.0,523442.5616365353
8,6773.0,620523.0,405396.72017394303
9,6773.0,657479.0,453241.16714680917
10,6773.0,715029.0,452487.16937533533
11,6773.0,717276.0,431085.1099150308
12,6773.0,722114.0,447052.9517988906
13,6773.0,738295.0,441694.33864758036
14,6773.0,747857.0,418623.9723514376
15,6773.0,772649.0,444370.45230793126
16,6773.0,821899.0,1786862.3102794008
17,6773.0,839469.0,328638.7140253266
18,6773.0,869156.0,529964.42787697
19,6773.0,881294.0,417928.4024540723
20,6773.0,904330.0,417547.56441743893
21,6773.0,907466.0,372836.28054953925
22,151125.0,6773.0,452564.03600817104
23,151125.0,198441.0,498695.60230538435
24,151125.0,282354.0,432412.24192390736
25,151125.0,326349.0,550941.2294034371
26,151125.0,394249.0,695893.649682128
27,151125.0,453866.0,449747.142630764
28,151125.0,485100.0,618524.6826166966
29,151125.0,564042.0,583434.6539019241
30,151125.0,620523.0,457621.46809261583
31,151125.0,657479.0,505393.46079459495
32,151125.0,715029.0,507166.7431269788
33,151125.0,717276.0,479782.0607285411
34,151125.0,722114.0,498863.49197624857
35,151125.0,738295.0,494803.501833243
36,151125.0,747857.0,469156.7831781951
37,151125.0,772649.0,497987.73087160353
38,151125.0,821899.0,2003343.0751090634
39,151125.0,839469.0,367684.0650149024
40,151125.0,869156.0,589034.0453080692
41,151125.0,881294.0,464231.38483522565
42,151125.0,904330.0,463729.32196687016
43,151125.0,907466.0,416236.77786258026
44,198441.0,6773.0,442549.56629216793
45,198441.0,151125.0,498695.60230538424
46,198441.0,282354.0,408821.2036170372
47,198441.0,326349.0,527226.811737652
48,198441.0,394249.0,684269.1604977055
49,198441.0,453866.0,422359.9912366153
50,198441.0,485100.0,608945.3648464505
51,198441.0,564042.0,568936.4309660977
52,198441.0,620523.0,420952.1565526178
53,198441.0,657479.0,491442.7127759298
54,198441.0,715029.0,479651.09241046634
55,198441.0,717276.0,474020.3354605578
56,198441.0,722114.0,485114.2700410109
57,198441.0,738295.0,468795.25611329003
58,198441.0,747857.0,444928.51822518837
59,198441.0,772649.0,486113.1612263217
60,198441.0,821899.0,1899862.562943452
61,198441.0,839469.0,359682.219005951
62,198441.0,869156.0,579189.8442390107
63,198441.0,881294.0,459435.82153914863
64,198441.0,904330.0,464926.6133694229
65,198441.0,907466.0,411838.5739013553
66,282354.0,6773.0,385679.7813062693
67,282354.0,151125.0,432412.24192390736
68,282354.0,198441.0,408821.2036170373
69,282354.0,326349.0,443182.52333795617
70,282354.0,394249.0,615622.279554553
71,282354.0,453866.0,374098.76366043807
72,282354.0,485100.0,544786.1489149354
73,282354.0,564042.0,499353.72538564133
74,282354.0,620523.0,369360.9455880308
75,282354.0,657479.0,423966.16964924056
76,282354.0,715029.0,417816.07745984267
77,282354.0,717276.0,402384.88435058267
78,282354.0,722114.0,425205.9556884141
79,282354.0,738295.0,417288.67004397744
80,282354.0,747857.0,380971.1031195368
81,282354.0,772649.0,407790.3104806074
82,282354.0,821899.0,1660145.9908293942
83,282354.0,839469.0,313217.2933610498
84,282354.0,869156.0,508069.20251065516
85,282354.0,881294.0,393467.5267767279
86,282354.0,904330.0,398444.6087011854
87,282354.0,907466.0,355294.28890355583
88,326349.0,6773.0,493740.11406260927
89,326349.0,151125.0,550941.229403437
90,326349.0,198441.0,527226.8117376522
91,326349.0,282354.0,443182.5233379563
92,326349.0,394249.0,786117.9736622608
93,326349.0,453866.0,483695.3940666405
94,326349.0,485100.0,694548.9338484026
95,326349.0,564042.0,638590.3612086579
96,326349.0,620523.0,477734.61168766953
97,326349.0,657479.0,540775.7053359075
98,326349.0,715029.0,535286.5490833077
99,326349.0,717276.0,510937.62749281985
100,326349.0,722114.0,542733.9493028399
101,326349.0,738295.0,536318.7190203506
102,326349.0,747857.0,488625.2588525876
103,326349.0,772649.0,514699.95711849607
104,326349.0,821899.0,2146421.524906985
105,326349.0,839469.0,398265.9721712092
106,326349.0,869156.0,648229.7698677846
107,326349.0,881294.0,501200.9407934799
108,326349.0,904330.0,505930.39981976734
109,326349.0,907466.0,453207.42263024935
110,394249.0,6773.0,625512.9096109695
111,394249.0,151125.0,695893.6496821282
112,394249.0,198441.0,684269.1604977064
113,394249.0,282354.0,615622.2795545534
114,394249.0,326349.0,786117.9736622608
115,394249.0,453866.0,609103.466207683
116,394249.0,485100.0,806451.8225408004
