,A,B,Distance
0,138288,246954,567.3465770350859
1,138288,248462,499.00093756971484
2,138288,251747,286.75012892370324
3,138288,537742,367.7681351561914
4,138288,731117,464.9053999782159
5,138288,754448,493.0118719025561
6,246954,138288,567.3465770350859
7,246954,248462,356.013232696545
8,246954,251747,371.6139622354299
9,246954,537742,596.2938458850074
10,246954,731117,376.41229993068146
11,246954,754448,205.57158327246506
12,248462,138288,499.00093756971484
13,248462,246954,356.013232696545
14,248462,251747,435.3161885054502
15,248462,537742,486.3498081906143
16,248462,731117,351.840088159939
17,248462,754448,402.6676072867374
18,251747,138288,286.75012892370324
19,251747,246954,371.6139622354299
20,251747,248462,435.3161885054502
21,251747,537742,319.03023352713325
22,251747,731117,375.2435873473588
23,251747,754448,402.5648725407124
24,537742,138288,367.7681351561914
25,537742,246954,596.2938458850074
26,537742,248462,486.3498081906143
27,537742,251747,319.03023352713325
28,537742,731117,561.9548108071033
29,537742,754448,621.097645899334
30,731117,138288,464.9053999782159
31,731117,246954,376.41229993068146
32,731117,248462,351.840088159939
33,731117,251747,375.2435873473588
34,731117,537742,561.9548108071033
35,731117,754448,407.39725422053874
36,754448,138288,493.0118719025561
37,754448,246954,205.57158327246506
38,754448,248462,402.6676072867374
39,754448,251747,402.5648725407124
40,754448,537742,621.097645899334
41,754448,731117,407.39725422053874
