,A,B,Distance
0,6773.0,151125.0,1187283.2858608076
1,6773.0,198441.0,1266592.7952438593
2,6773.0,282354.0,1083001.7925366217
3,6773.0,326349.0,1265809.0033161442
4,6773.0,394249.0,1822058.205520322
5,6773.0,453866.0,1134062.065502848
6,6773.0,485100.0,1479390.8826228755
7,6773.0,564042.0,1480683.209872321
8,6773.0,620523.0,1142764.7595796527
9,6773.0,657479.0,1247078.8979681395
10,6773.0,715029.0,1303640.0292899502
11,6773.0,717276.0,1177533.8254050852
12,6773.0,722114.0,1227668.620251903
13,6773.0,738295.0,1154435.5300137862
14,6773.0,747857.0,1130931.6696735632
15,6773.0,772649.0,1155833.372073952
16,6773.0,821899.0,5684164.036975714
17,6773.0,839469.0,896939.7406739652
18,6773.0,869156.0,1448283.4597042573
19,6773.0,881294.0,1129197.4379290962
20,6773.0,904330.0,1186826.9127273925
21,6773.0,907466.0,925657.5787046764
22,151125.0,6773.0,1187283.2858608083
23,151125.0,198441.0,1399653.1864868547
24,151125.0,282354.0,1180120.533272835
25,151125.0,326349.0,1371351.7684622756
26,151125.0,394249.0,1998265.1660315702
27,151125.0,453866.0,1253869.4568810451
28,151125.0,485100.0,1616560.0117949063
29,151125.0,564042.0,1616539.9468710367
30,151125.0,620523.0,1262922.6330708053
31,151125.0,657479.0,1355620.3307086385
32,151125.0,715029.0,1428430.5084470927
33,151125.0,717276.0,1272244.0360683887
34,151125.0,722114.0,1340786.4219766029
35,151125.0,738295.0,1272375.6004577624
36,151125.0,747857.0,1234305.399160804
37,151125.0,772649.0,1260647.6766497688
38,151125.0,821899.0,6232225.894318954
39,151125.0,839469.0,982732.647591735
40,151125.0,869156.0,1576942.306023589
41,151125.0,881294.0,1218003.567068865
42,151125.0,904330.0,1282799.7691747479
43,151125.0,907466.0,1010116.3470390487
44,198441.0,6773.0,1266592.7952438581
45,198441.0,151125.0,1399653.186486853
46,198441.0,282354.0,1222042.7873677204
47,198441.0,326349.0,1437242.689306105
48,198441.0,394249.0,2102412.1401437013
49,198441.0,453866.0,1256086.1609559855
50,198441.0,485100.0,1707936.6311159295
51,198441.0,564042.0,1707198.7261968353
52,198441.0,620523.0,1250011.7289941753
53,198441.0,657479.0,1440691.0454437113
54,198441.0,715029.0,1462545.6870741583
55,198441.0,717276.0,1389929.1458784384
56,198441.0,722114.0,1414937.928027584
57,198441.0,738295.0,1282849.9507722063
58,198441.0,747857.0,1275590.0605477458
59,198441.0,772649.0,1362162.9286961723
60,198441.0,821899.0,6407785.6053268
61,198441.0,839469.0,1048176.4481543261
62,198441.0,869156.0,1678201.3431250073
63,198441.0,881294.0,1332332.7799467475
64,198441.0,904330.0,1421488.8862470367
65,198441.0,907466.0,1096055.0303483745
66,282354.0,6773.0,1083001.7925366221
67,282354.0,151125.0,1180120.5332728357
68,282354.0,198441.0,1222042.7873677213
69,282354.0,326349.0,1185353.8292080306
70,282354.0,394249.0,1872163.6992652032
71,282354.0,453866.0,1105426.8584163636
72,282354.0,485100.0,1498115.6522138908
73,282354.0,564042.0,1472874.058437924
74,282354.0,620523.0,1086153.3489685964
75,282354.0,657479.0,1214918.4091644855
76,282354.0,715029.0,1257760.943080982
77,282354.0,717276.0,1147493.4105879457
78,282354.0,722114.0,1219213.1428772805
79,282354.0,738295.0,1122287.9109027854
80,282354.0,747857.0,1064213.1863738026
81,282354.0,772649.0,1131589.8946915981
82,282354.0,821899.0,5491391.05330527
83,282354.0,839469.0,904606.2409925336
84,282354.0,869156.0,1439121.76316568
85,282354.0,881294.0,1112642.8867770422
86,282354.0,904330.0,1197898.5071847376
87,282354.0,907466.0,915340.874370419
88,326349.0,6773.0,1265809.0033161438
89,326349.0,151125.0,1371351.7684622754
90,326349.0,198441.0,1437242.6893061087
91,326349.0,282354.0,1185353.8292080308
92,326349.0,394249.0,2175008.6755240443
93,326349.0,453866.0,1307376.1531971565
94,326349.0,485100.0,1738820.3787432772
95,326349.0,564042.0,1715507.400470244
96,326349.0,620523.0,1282790.511950677
97,326349.0,657479.0,1411403.608257168
98,326349.0,715029.0,1468908.5986244846
99,326349.0,717276.0,1330415.911267809
100,326349.0,722114.0,1418080.7487008523
101,326349.0,738295.0,1318285.6371136208
102,326349.0,747857.0,1245913.953680308
103,326349.0,772649.0,1311468.506277128
104,326349.0,821899.0,6443633.060750089
105,326349.0,839469.0,1050838.071901263
106,326349.0,869156.0,1672928.964478554
107,326349.0,881294.0,1293019.1449249263
108,326349.0,904330.0,1386337.9767234935
109,326349.0,907466.0,1067995.9871953165
110,394249.0,6773.0,1822058.2055203218
111,394249.0,151125.0,1998265.1660315734
112,394249.0,198441.0,2102412.1401437013
113,394249.0,282354.0,1872163.6992652032
114,394249.0,326349.0,2175008.6755240443
115,394249.0,453866.0,1838718.7285114527
116,394249.0,485100.0,2300888.441192624
117,394249.0,564042.0,2353854.425547318
118,394249.0,620523.0,1926712.5249084735
119,394249.0,657479.0,2052250.5074877876
120,394249.0,715029.0,2165836.2594146673
121,394249.0,717276.0,2031459.2292111344
122,394249.0,722114.0,1976887.0169814934
123,394249.0,738295.0,1888880.248950868
124,394249.0,747857.0,1941469.5253330257
125,394249.0,772649.0,2008885.7222903946
126,394249.0,821899.0,9303824.91860511
127,394249.0,839469.0,1488948.4671862263
128,394249.0,869156.0,2296925.5756660607
129,394249.0,881294.0,1931407.085361631
130,394249.0,904330.0,1952841.1235811808
131,394249.0,907466.0,1580386.332394797
132,453866.0,6773.0,1134062.0655028487
133,453866.0,151125.0,1253869.4568810465
134,453866.0,198441.0,1256086.1609559886
135,453866.0,282354.0,1105426.8584163634
136,453866.0,326349.0,1307376.1531971584
137,453866.0,394249.0,1838718.728511451
138,453866.0,485100.0,1513346.2261390686
139,453866.0,564042.0,1518016.2320184973
140,453866.0,620523.0,1133511.7853385115
141,453866.0,657479.0,1298366.193116675
142,453866.0,715029.0,1307983.4437155796
143,453866.0,717276.0,1256202.956652109
144,453866.0,722114.0,1273858.7611083246
145,453866.0,738295.0,1142262.7537338955
146,453866.0,747857.0,1159393.148548119
147,453866.0,772649.0,1234436.6361755792
148,453866.0,821899.0,5702207.4088315
149,453866.0,839469.0,937715.7620238934
150,453866.0,869156.0,1489319.9559101113
151,453866.0,881294.0,1201714.741240553
152,453866.0,904330.0,1278209.193308687
153,453866.0,907466.0,985431.6087863183
154,485100.0,6773.0,1479390.8826228783
155,485100.0,151125.0,1616560.0117949073
156,485100.0,198441.0,1707936.6311159306
157,485100.0,282354.0,1498115.652213889
158,485100.0,326349.0,1738820.3787432765
159,485100.0,394249.0,2300888.4411926223
160,485100.0,453866.0,1513346.226139067
161,485100.0,564042.0,1930700.8844628953
162,485100.0,620523.0,1558144.781945759
163,485100.0,657479.0,1659408.380785533
164,485100.0,715029.0,1763222.6595759934
165,485100.0,717276.0,1626016.923396273
166,485100.0,722114.0,1595826.2580937177
167,485100.0,738295.0,1542201.2518437803
168,485100.0,747857.0,1556877.0203270477
169,485100.0,772649.0,1610121.3422108432
170,485100.0,821899.0,7484059.190086034
171,485100.0,839469.0,1211798.3446946866
172,485100.0,869156.0,1878072.0888752744
173,485100.0,881294.0,1554959.064757839
174,485100.0,904330.0,1576696.650234584
175,485100.0,907466.0,1270480.446114579
176,564042.0,6773.0,1480683.20987232
177,564042.0,151125.0,1616539.9468710385
178,564042.0,198441.0,1707198.7261968383
179,564042.0,282354.0,1472874.0584379258
180,564042.0,326349.0,1715507.400470246
181,564042.0,394249.0,2353854.425547318
182,564042.0,453866.0,1518016.2320184982
183,564042.0,485100.0,1930700.884462895
184,564042.0,620523.0,1548084.3593668775
185,564042.0,657479.0,1653913.96338557
186,564042.0,715029.0,1757884.351131094
187,564042.0,717276.0,1615816.248695875
188,564042.0,722114.0,1618946.6277842864
189,564042.0,738295.0,1545320.3254284847
190,564042.0,747857.0,1534361.8098519589
191,564042.0,772649.0,1596404.257393237
192,564042.0,821899.0,7583634.346935244
193,564042.0,839469.0,1218328.0383337038
194,564042.0,869156.0,1896637.5356279858
195,564042.0,881294.0,1546038.6904974007
196,564042.0,904330.0,1589318.0543000356
197,564042.0,907466.0,1270001.361270904
198,620523.0,6773.0,1142764.7595796532
199,620523.0,151125.0,1262922.6330708058
200,620523.0,198441.0,1250011.7289941742
201,620523.0,282354.0,1086153.3489685962
202,620523.0,326349.0,1282790.5119506754
203,620523.0,394249.0,1926712.5249084728
204,620523.0,453866.0,1133511.7853385117
205,620523.0,485100.0,1558144.781945759
206,620523.0,564042.0,1548084.3593668768
207,620523.0,657479.0,1297492.3228279103
208,620523.0,715029.0,1315269.2516430644
209,620523.0,717276.0,1247977.93257406
210,620523.0,722114.0,1279056.2070531717
211,620523.0,738295.0,1158747.6565694278
212,620523.0,747857.0,1138045.1670287438
213,620523.0,772649.0,1221750.310117189
214,620523.0,821899.0,5765932.844337645
215,620523.0,839469.0,950301.1504812731
216,620523.0,869156.0,1523571.0488636217
217,620523.0,881294.0,1196953.3275452422
218,620523.0,904330.0,1286517.8820436297
219,620523.0,907466.0,985514.3408236552
220,657479.0,6773.0,1247078.8979681402
221,657479.0,151125.0,1355620.330708639
222,657479.0,198441.0,1440691.045443713
223,657479.0,282354.0,1214918.4091644853
224,657479.0,326349.0,1411403.6082571668
225,657479.0,394249.0,2052250.5074877874
226,657479.0,453866.0,1298366.1931166742
227,657479.0,485100.0,1659408.3807855328
228,657479.0,564042.0,1653913.9633855692
229,657479.0,620523.0,1297492.3228279096
230,657479.0,715029.0,1477507.0726801055
231,657479.0,717276.0,1339757.7793829585
232,657479.0,722114.0,1369543.5877534223
233,657479.0,738295.0,1312757.0581566656
234,657479.0,747857.0,1266084.4640902397
235,657479.0,772649.0,1322070.4775699535
236,657479.0,821899.0,6395615.944609962
237,657479.0,839469.0,1030105.2147661273
238,657479.0,869156.0,1615344.1568626424
239,657479.0,881294.0,1287100.081084594
240,657479.0,904330.0,1337481.545442774
241,657479.0,907466.0,1060262.0901660929
242,715029.0,6773.0,1303640.02928995
243,715029.0,151125.0,1428430.5084470941
244,715029.0,198441.0,1462545.6870741588
245,715029.0,282354.0,1257760.9430809824
246,715029.0,326349.0,1468908.5986244855
247,715029.0,394249.0,2165836.2594146635
248,715029.0,453866.0,1307983.4437155796
249,715029.0,485100.0,1763222.6595759948
250,715029.0,564042.0,1757884.3511310937
251,715029.0,620523.0,1315269.2516430658
252,715029.0,657479.0,1477507.0726801066
253,715029.0,717276.0,1414433.8999218927
254,715029.0,722114.0,1464256.3820829082
255,715029.0,738295.0,1338279.0642263053
256,715029.0,747857.0,1315050.7221453555
257,715029.0,772649.0,1392440.3981150917
258,715029.0,821899.0,6637102.771883382
259,715029.0,839469.0,1079834.9686223816
260,715029.0,869156.0,1720476.9121237812
261,715029.0,881294.0,1359235.0285754493
262,715029.0,904330.0,1451143.973318959
263,715029.0,907466.0,1121045.347754734
264,717276.0,6773.0,1177533.8254050848
265,717276.0,151125.0,1272244.0360683883
266,717276.0,198441.0,1389929.14587844
267,717276.0,282354.0,1147493.4105879453
268,717276.0,326349.0,1330415.9112678089
269,717276.0,394249.0,2031459.229211133
270,717276.0,453866.0,1256202.9566521083
271,717276.0,485100.0,1626016.9233962737
272,717276.0,564042.0,1615816.2486958748
273,717276.0,620523.0,1247977.9325740612
274,717276.0,657479.0,1339757.779382958
275,717276.0,715029.0,1414433.8999218924
276,717276.0,722114.0,1334534.2219085845
277,717276.0,738295.0,1267540.6657982997
278,717276.0,747857.0,1206078.8633433995
279,717276.0,772649.0,1230218.1745904505
280,717276.0,821899.0,6172398.096656351
281,717276.0,839469.0,978396.3928682163
282,717276.0,869156.0,1573293.2483654735
283,717276.0,881294.0,1201148.0642044463
284,717276.0,904330.0,1272685.023860926
285,717276.0,907466.0,991621.4456978102
286,722114.0,6773.0,1227668.620251904
287,722114.0,151125.0,1340786.4219766052
288,722114.0,198441.0,1414937.9280275863
289,722114.0,282354.0,1219213.1428772807
290,722114.0,326349.0,1418080.7487008518
291,722114.0,394249.0,1976887.0169814928
292,722114.0,453866.0,1273858.7611083237
293,722114.0,485100.0,1595826.2580937198
294,722114.0,564042.0,1618946.6277842855
295,722114.0,620523.0,1279056.2070531724
296,722114.0,657479.0,1369543.5877534228
297,722114.0,715029.0,1464256.3820829077
298,722114.0,717276.0,1334534.2219085854
299,722114.0,738295.0,1290227.2286312096
300,722114.0,747857.0,1270111.0020097303
301,722114.0,772649.0,1317286.3768349912
302,722114.0,821899.0,6239025.436725323
303,722114.0,839469.0,1011621.4912439903
304,722114.0,869156.0,1579262.623852415
305,722114.0,881294.0,1279003.6707740722
306,722114.0,904330.0,1308244.265416962
307,722114.0,907466.0,1048276.7391986253
308,738295.0,6773.0,1154435.5300137864
309,738295.0,151125.0,1272375.6004577633
310,738295.0,198441.0,1282849.9507722084
311,738295.0,282354.0,1122287.910902786
312,738295.0,326349.0,1318285.6371136212
