,A,B,Distance
0,34053,197004,1500.8632258236976
1,34053,277280,1109.5220925972917
2,34053,301481,2031.9709690411507
3,34053,431108,1248.7886543252773
4,34053,449396,1839.830631015784
5,34053,451465,1248.315587910185
6,34053,550447,2032.054423820129
7,34053,550951,1213.06410162755
8,34053,571770,1183.017917581768
9,34053,576494,1677.7969924153101
10,34053,604408,1266.0715580937785
11,34053,664789,1911.490062726327
12,34053,709855,1265.5005593569886
13,34053,712680,1230.237029705152
14,34053,825580,2072.7497050217667
15,34053,835211,754.9494995933175
16,34053,864625,1669.538333742955
17,197004,34053,1500.8632258236976
18,197004,277280,1414.5733956305235
19,197004,301481,575.2865580098264
20,197004,431108,1037.2947504442868
21,197004,449396,1169.1511411987476
22,197004,451465,1051.8807003337738
23,197004,550447,603.8506208653369
24,197004,550951,1035.5384224926302
25,197004,571770,1122.72944977589
26,197004,576494,586.425755972647
27,197004,604408,1063.0838908677351
28,197004,664789,556.3966472617269
29,197004,709855,1033.0141551250297
30,197004,712680,1059.61512447187
31,197004,825580,1535.1566064198723
32,197004,835211,1349.5484934583255
33,197004,864625,363.1212449968135
34,277280,34053,1109.5220925972917
35,277280,197004,1414.5733956305235
36,277280,301481,1675.6901135478988
37,277280,431108,529.3219365807257
38,277280,449396,1371.175882185853
39,277280,451465,827.9019192626417
40,277280,550447,1682.68334410119
41,277280,550951,707.8905070285565
42,277280,571770,735.6349424571341
43,277280,576494,1418.1918017271855
44,277280,604408,588.9751703909712
45,277280,664789,1160.2751762516725
46,277280,709855,594.72590539137
47,277280,712680,702.413211426282
48,277280,825580,1823.786052821272
49,277280,835211,955.6795722249274
50,277280,864625,1348.1027100642168
51,301481,34053,2031.9709690411507
52,301481,197004,575.2865580098264
53,301481,277280,1675.6901135478988
54,301481,431108,1426.792422248486
55,301481,449396,983.2547842811721
56,301481,451465,1305.450496080488
57,301481,550447,510.00738410852347
58,301481,550951,1307.9199137030723
59,301481,571770,1582.9670256464449
60,301481,576494,501.6110776600958
61,301481,604408,1478.411131719155
62,301481,664789,787.6259939184943
63,301481,709855,1333.8056996162304
64,301481,712680,1311.4294700556022
65,301481,825580,1314.676230075398
66,301481,835211,1912.8519628799236
67,301481,864625,484.0376606925079
68,431108,34053,1248.7886543252773
69,431108,197004,1037.2947504442868
70,431108,277280,529.3219365807257
71,431108,301481,1426.792422248486
72,431108,449396,1170.3860558375843
73,431108,451465,434.4388268987224
74,431108,550447,1407.3458353565893
75,431108,550951,363.881950122218
76,431108,571770,357.4822909841517
77,431108,576494,1127.9937511612043
78,431108,604408,370.50307685305455
79,431108,664789,955.6711693058321
80,431108,709855,288.3182286107546
81,431108,712680,468.806338884206
82,431108,825580,1489.697071422414
83,431108,835211,1228.1354342949974
84,431108,864625,1272.9650070250204
85,449396,34053,1839.830631015784
86,449396,197004,1169.1511411987476
87,449396,277280,1371.175882185853
88,449396,301481,983.2547842811721
89,449396,431108,1170.3860558375843
90,449396,451465,804.9377288772723
91,449396,550447,864.916367923958
92,449396,550951,993.5645048411351
93,449396,571770,1440.141870969491
94,449396,576494,1165.2857590788644
95,449396,604408,1351.968693344277
96,449396,664789,750.5501050604295
97,449396,709855,1151.346442813224
98,449396,712680,951.9582734274894
99,449396,825580,1146.9363803833962
100,449396,835211,1982.9801377220622
101,449396,864625,993.1376235743033
102,451465,34053,1248.315587910185
103,451465,197004,1051.8807003337738
104,451465,277280,827.9019192626417
105,451465,301481,1305.450496080488
106,451465,431108,434.4388268987224
107,451465,449396,804.9377288772723
108,451465,550447,1313.8608416015852
109,451465,550951,570.3164714312845
110,451465,571770,689.4988393725971
111,451465,576494,1051.0642949999494
112,451465,604408,570.712907098773
113,451465,664789,774.5054339978341
114,451465,709855,543.019706172855
115,451465,712680,566.248900477311
116,451465,825580,1372.4918419650853
117,451465,835211,1252.5134811333755
118,451465,864625,978.2764582789868
119,550447,34053,2032.054423820129
120,550447,197004,603.8506208653369
121,550447,277280,1682.68334410119
122,550447,301481,510.00738410852347
123,550447,431108,1407.3458353565893
124,550447,449396,864.916367923958
125,550447,451465,1313.8608416015852
126,550447,550951,1303.471527350688
127,550447,571770,1540.2110005089721
128,550447,576494,558.3992248917846
129,550447,604408,1450.9586944702812
130,550447,664789,778.5222888150751
131,550447,709855,1328.4520289527072
132,550447,712680,1321.3221850016512
133,550447,825580,1439.334383785036
134,550447,835211,1785.3432496702758
135,550447,864625,439.1875960538284
136,550951,34053,1213.06410162755
137,550951,197004,1035.5384224926302
138,550951,277280,707.8905070285565
139,550951,301481,1307.9199137030723
140,550951,431108,363.881950122218
141,550951,449396,993.5645048411351
142,550951,451465,570.3164714312845
143,550951,550447,1303.471527350688
144,550951,571770,641.344317369029
145,550951,576494,1049.887866154979
146,550951,604408,443.03912217793703
147,550951,664789,780.2314132184301
148,550951,709855,446.3552426597657
149,550951,712680,434.006412195398
150,550951,825580,1441.1933276031882
151,550951,835211,1228.54492261566
152,550951,864625,983.3686537890549
153,571770,34053,1183.017917581768
154,571770,197004,1122.72944977589
155,571770,277280,735.6349424571341
156,571770,301481,1582.9670256464449
157,571770,431108,357.4822909841517
158,571770,449396,1440.141870969491
159,571770,451465,689.4988393725971
160,571770,550447,1540.2110005089721
161,571770,550951,641.344317369029
