,A,B,Distance
0,6773,151125,822.0953850986432
1,6773,198441,1312.1667584273087
2,6773,282354,1808.7238409890122
3,6773,326349,1539.6735927378827
4,6773,394249,1545.4993839673737
5,6773,453866,1804.6803610763145
6,6773,485100,1417.7750573039082
7,6773,564042,1467.980602318977
8,6773,620523,1306.1216918156451
9,6773,657479,1440.164161326056
10,6773,715029,1540.3962332304259
11,6773,717276,827.9698618183264
12,6773,722114,1341.9567423655205
13,6773,738295,1435.3362935016512
14,6773,747857,1466.1841582620095
15,6773,772649,229.56205769678962
16,6773,821899,2222.827397281449
17,6773,839469,1694.081555965886
18,6773,869156,1449.8390413321988
19,6773,881294,846.8506742368585
20,6773,904330,1151.6902730926458
21,6773,907466,1225.8639961568597
22,151125,6773,822.0953850986432
23,151125,198441,1475.0679689321134
24,151125,282354,1583.9828636297666
25,151125,326349,1525.9880860665776
26,151125,394249,1536.2901724723151
27,151125,453866,1650.0102268258204
28,151125,485100,1504.6002211193897
29,151125,564042,1622.2846008472409
30,151125,620523,1516.1537076167629
31,151125,657479,1569.9902577889388
32,151125,715029,1529.6696867237717
33,151125,717276,648.3515497217651
34,151125,722114,1500.0080590500045
35,151125,738295,1652.8222100362295
36,151125,747857,1556.9999008897178
37,151125,772649,649.0307213727087
38,151125,821899,2375.7199702764756
39,151125,839469,1341.6539630884618
40,151125,869156,1589.5255035122782
41,151125,881294,363.78172654873055
42,151125,904330,1001.2036607634515
43,151125,907466,1144.57195898676
44,198441,6773,1312.1667584273087
45,198441,151125,1475.0679689321134
46,198441,282354,1110.6689020093866
47,198441,326349,828.7715757949455
48,198441,394249,848.0226057895527
49,198441,453866,1151.606792883872
50,198441,485100,1073.0091600860956
51,198441,564042,993.3028137334741
52,198441,620523,597.7239538391392
53,198441,657479,1104.060440909011
54,198441,715029,832.2182691214454
55,198441,717276,1789.6187439995167
56,198441,722114,1096.378204018304
57,198441,738295,839.643530617295
58,198441,747857,957.5461241869901
59,198441,772649,1291.5198124944438
60,198441,821899,2264.1308645906824
61,198441,839469,1719.5941079073627
62,198441,869156,1048.8908178575748
63,198441,881294,1525.485638735979
64,198441,904330,1602.2574021963821
65,198441,907466,1837.7229269775705
66,282354,6773,1808.7238409890122
67,282354,151125,1583.9828636297666
68,282354,198441,1110.6689020093866
69,282354,326349,915.8052054564456
70,282354,394249,998.6327781535821
71,282354,453866,998.3781042243919
72,282354,485100,1061.5478149329333
73,282354,564042,1149.3977984743917
74,282354,620523,959.6351735506194
75,282354,657479,1144.8372003019072
76,282354,715029,877.3428584798739
77,282354,717276,1778.4062438420253
78,282354,722114,1071.7124538636099
