,A,B,Distance
0,5082,33417,956.7109720303566
1,5082,43999,1167.9095602218235
2,5082,53952,736.0496866382327
3,5082,92386,983.5436256268483
4,5082,102712,724.1811676260139
5,5082,122884,434.01121288587
6,5082,142289,721.1677813130908
7,5082,159565,1014.8773043656678
8,5082,183182,999.4681069133899
9,5082,207119,718.3643946019793
10,5082,209245,1095.1631562562586
11,5082,209995,936.1405867682197
12,5082,240268,1184.6461803620252
13,5082,251855,720.9035691380508
14,5082,319578,1137.1872630554715
15,5082,409880,1063.874635750097
16,5082,450006,1214.1188188265476
17,5082,465132,427.1935876426734
18,5082,475854,1187.6442034792829
19,5082,500424,873.2465018295119
20,5082,502092,741.4586575009901
21,5082,509714,572.3826830010773
22,5082,517030,655.6672798853093
23,5082,531559,666.1287713456776
24,5082,543352,177.1497078100963
25,5082,547996,1080.8668747728655
26,5082,578490,391.67333200459507
27,5082,640139,1054.8521006728424
28,5082,641739,868.7151586698019
29,5082,645876,1155.2696630078815
30,5082,658659,1053.2568278022238
31,5082,666126,917.5768040894383
32,5082,714724,5388.304909588675
33,5082,731431,756.4792183200055
34,5082,737894,928.7470452266499
35,5082,766298,240.41722441466663
36,5082,799150,659.3348392913706
37,5082,845797,752.2031396770535
38,5082,880657,806.4793612884623
39,5082,884138,859.4808679070198
40,5082,910187,725.4138065834445
41,33417,5082,956.7109720303566
42,33417,43999,355.46502587743606
43,33417,53952,620.756079837567
44,33417,92386,453.93523591258037
45,33417,102712,636.2133481311507
46,33417,122884,813.229445452321
47,33417,142289,641.8923329947606
48,33417,159565,220.7898408010826
49,33417,183182,464.4843012548505
50,33417,207119,614.8795491754283
51,33417,209245,448.2492639279951
52,33417,209995,748.4556524758341
53,33417,240268,618.1572524310652
54,33417,251855,605.262460875625
55,33417,319578,441.86630278890823
56,33417,409880,323.0070406165455
57,33417,450006,428.4105620412586
58,33417,465132,923.6154216485027
59,33417,475854,591.7212085115976
60,33417,500424,535.5787153162142
61,33417,502092,631.6494886402631
62,33417,509714,963.7437192755114
63,33417,517030,598.4073596409102
64,33417,531559,612.0700571950849
65,33417,543352,962.0138527935254
66,33417,547996,273.23655481530295
67,33417,578490,938.393689778214
68,33417,640139,355.0517508416777
69,33417,641739,1278.7372519427422
70,33417,645876,460.82854261012125
71,33417,658659,393.38739846461203
72,33417,666126,599.3227975512864
73,33417,714724,5436.345195148047
74,33417,731431,613.9696211383895
75,33417,737894,346.7267402686429
76,33417,766298,971.705519737724
77,33417,799150,581.7876042681502
78,33417,845797,645.6123781078892
79,33417,880657,602.6453179310955
80,33417,884138,558.206596134009
81,33417,910187,615.4876738581485
82,43999,5082,1167.9095602218235
83,43999,33417,355.46502587743606
84,43999,53952,937.9816297568573
85,43999,92386,491.1894184130255
86,43999,102712,928.2981122317452
87,43999,122884,1006.9822282578074
88,43999,142289,934.9217940723415
89,43999,159565,370.2886699227814
90,43999,183182,503.45422453018693
91,43999,207119,885.445350895541
92,43999,209245,377.5366393577954
93,43999,209995,959.8081499706702
94,43999,240268,379.99080915336265
95,43999,251855,862.70735832655
96,43999,319578,399.36239381589206
97,43999,409880,593.9362084450676
98,43999,450006,382.8294759211204
99,43999,465132,1237.9484676224688
100,43999,475854,473.18146040369146
101,43999,500424,703.5211828009901
102,43999,502092,914.2849506229611
103,43999,509714,1180.3325024741023
104,43999,517030,882.76066154325
105,43999,531559,953.0918995939028
106,43999,543352,1136.5369178724347
107,43999,547996,417.9195963655451
108,43999,578490,1193.4081891524024
109,43999,640139,398.3919078749206
110,43999,641739,1357.2400943349237
111,43999,645876,484.11229101266156
112,43999,658659,340.7819015336717
113,43999,666126,657.6809007580785
114,43999,714724,5528.533720897105
115,43999,731431,957.3842269375116
116,43999,737894,631.7715460803869
117,43999,766298,1216.1034379643365
118,43999,799150,861.901750593872
119,43999,845797,988.0139141596807
120,43999,880657,946.5965226694912
121,43999,884138,874.0853014411683
122,43999,910187,959.500221963492
123,53952,5082,736.0496866382327
124,53952,33417,620.756079837567
125,53952,43999,937.9816297568573
126,53952,92386,582.71729278377
127,53952,102712,276.60373307681743
128,53952,122884,413.07996184173317
129,53952,142289,326.29104205255913
130,53952,159565,595.8207982192437
131,53952,183182,634.4393651011322
132,53952,207119,251.6806122335614
133,53952,209245,649.0788855416403
134,53952,209995,638.7293507529421
135,53952,240268,952.0965093962507
136,53952,251855,204.55680724512038
137,53952,319578,646.7587437907911
138,53952,409880,521.2133311826368
139,53952,450006,888.6411640365558
140,53952,465132,560.5108804468458
141,53952,475854,1128.7937008803508
142,53952,500424,518.1337815384767
143,53952,502092,308.0901766493496
144,53952,509714,670.9346560313633
145,53952,517030,516.266203312573
146,53952,531559,514.7217943380629
147,53952,543352,788.7481987404908
148,53952,547996,563.93690621226
149,53952,578490,592.2828994861779
150,53952,640139,596.9989170748191
151,53952,641739,1125.1177589344607
152,53952,645876,659.6377737177747
153,53952,658659,618.235568786282
154,53952,666126,736.2594090314914
155,53952,714724,5271.396976833388
156,53952,731431,293.5953090411403
157,53952,737894,500.87328055802175
158,53952,766298,786.9772009630836
159,53952,799150,392.5112010173036
160,53952,845797,276.31358595362207
161,53952,880657,380.20894109067723
162,53952,884138,378.8755202731816
163,53952,910187,423.1444513104359
164,92386,5082,983.5436256268483
165,92386,33417,453.93523591258037
166,92386,43999,491.1894184130255
167,92386,53952,582.71729278377
168,92386,102712,575.98077090257
169,92386,122884,839.2473770798554
170,92386,142289,637.0835272965812
171,92386,159565,365.1014544316008
172,92386,183182,199.86175737171996
173,92386,207119,544.0484398650102
174,92386,209245,397.78675965629105
175,92386,209995,679.7524851965305
176,92386,240268,564.7593111250073
177,92386,251855,534.5257113113892
178,92386,319578,389.0266791252523
179,92386,409880,358.037973511128
180,92386,450006,446.7944716027321
181,92386,465132,939.5220689568728
182,92386,475854,638.2400966119337
183,92386,500424,617.5898241511425
184,92386,502092,561.1721446878564
185,92386,509714,986.8323747114836
186,92386,517030,640.4306842202577
187,92386,531559,577.9303737709384
188,92386,543352,995.6396525246121
189,92386,547996,329.24139518961186
190,92386,578490,976.7807047395493
191,92386,640139,440.37301400663483
192,92386,641739,918.8366775561501
193,92386,645876,459.6876344772775
194,92386,658659,489.0098363551005
