,origin,destination,count
31889,60750610003.,60759809001.,130
18588,60750179031.,60759809001.,100
26269,60750258002.,60759809001.,78
25270,60750252001.,60759809001.,36
18575,60750179031.,60750615011.,34
3824,60750117002.,60759809001.,31
31666,60750610002.,60759809001.,29
18579,60750179031.,60750615031.,29
18576,60750179031.,60750615012.,28
17595,60750177002.,60759809001.,24
26733,60750262012.,60759809001.,24
118,60750101011.,60750610003.,24
32803,60750615012.,60759809001.,23
34044,60759809001.,60750180002.,23
27086,60750264022.,60759809001.,22
6675,60750123023.,60750123013.,22
19020,60750180004.,60750180002.,21
32451,60750615011.,60750179031.,21
5696,60750122022.,60759809001.,21
34079,60759809001.,60750209001.,21
1037,60750106002.,60750123013.,20
31943,60750611012.,60750106002.,20
14425,60750166012.,60759809001.,20
34136,60759809001.,60750252001.,20
34258,60759809001.,60750615031.,20
13863,60750164002.,60759809001.,19
13714,60750164001.,60759809001.,19
3811,60750117002.,60750615011.,19
5496,60750122022.,60750123013.,19
14619,60750166021.,60759809001.,19
25606,60750253004.,60759809001.,19
22824,60750209001.,60759809001.,19
19383,60750201012.,60759809001.,18
18920,60750180002.,60759809001.,18
6229,60750123013.,60750123023.,18
14957,60750167004.,60759809001.,18
26796,60750262013.,60759809001.,18
31113,60750601001.,60750128021.,18
6219,60750123013.,60750122022.,17
837,60750105002.,60750117002.,17
32664,60750615012.,60750176023.,17
6870,60750123023.,60759809001.,17
19235,60750201011.,60759809001.,17
6904,60750123024.,60750123023.,17
22651,60750208022.,60759809001.,17
33913,60759809001.,60750123013.,17
16709,60750176023.,60759809001.,16
6856,60750123023.,60750615012.,16
33852,60759809001.,60750101011.,16
4023,60750117003.,60759809001.,16
18357,60750178043.,60759809001.,16
3809,60750117002.,60750611012.,16
33198,60750615031.,60750615012.,16
9215,60750129023.,60750128021.,16
6434,60750123013.,60759809001.,16
13960,60750164003.,60759809001.,15
19089,60750180004.,60759809001.,15
18531,60750179031.,60750180002.,15
128,60750101011.,60759809001.,15
16693,60750176023.,60750610003.,15
18905,60750180002.,60750615012.,15
1214,60750106003.,60750101011.,15
5032,60750121001.,60750123023.,15
997,60750106002.,60750106003.,15
32780,60750615012.,60750610003.,15
5492,60750122022.,60750122032.,15
32528,60750615011.,60750615012.,15
1199,60750106002.,60750615012.,15
3609,60750117002.,60750105002.,15
31187,60750601002.,60750128021.,15
6414,60750123013.,60750610003.,14
21150,60750205001.,60759809001.,14
935,60750105002.,60759809001.,14
5783,60750122032.,60750122022.,14
4055,60750117004.,60750117003.,14
16256,60750171023.,60759809001.,14
3869,60750117003.,60750123013.,14
2863,60750111011.,60759809001.,14
27592,60750302021.,60759809001.,14
20730,60750203003.,60759809001.,13
31614,60750610001.,60759809001.,13
18127,60750178041.,60759809001.,13
4073,60750117004.,60750123023.,13
32543,60750615011.,60759809001.,13
32557,60750615012.,60750106002.,13
32917,60750615013.,60750615012.,13
31434,60750607021.,60759809001.,13
33623,60750615071.,60759809001.,13
17374,60750177001.,60759809001.,13
33361,60750615041.,60750615011.,13
5499,60750122022.,60750123023.,13
15785,60750169002.,60759809001.,13
6204,60750123013.,60750117003.,13
33886,60759809001.,60750112002.,13
6320,60750123013.,60750180002.,13
6669,60750123023.,60750122022.,13
14282,60750166011.,60759809001.,13
6756,60750123023.,60750176031.,13
7360,60750124051.,60759809001.,13
33529,60750615071.,60750117002.,13
12665,60750159004.,60759809001.,13
8507,60750128012.,60750128021.,13
9541,60750130021.,60750611012.,13
8242,60750126012.,60750117002.,13
1,60750101011.,60750101012.,13
19817,60750201023.,60759809001.,13
7,60750101011.,60750103001.,13
34254,60759809001.,60750615012.,13
8170,60750126011.,60750117002.,12
16867,60750176031.,60759809001.,12
15116,60750168011.,60759809001.,12
34080,60759809001.,60750209002.,12
32539,60750615011.,60750615071.,12
32600,60750615012.,60750123023.,12
179,60750101021.,60750117002.,12
15698,60750169002.,60750203003.,12
28693,60750326011.,60759809001.,12
16698,60750176023.,60750615012.,12
10923,60750152022.,60750111011.,12
13416,60750163002.,60759809001.,12
1398,60750107011.,60750106002.,11
7519,60750124053.,60759809001.,11
1268,60750106003.,60750123023.,11
8250,60750126012.,60750128021.,11
18709,60750180002.,60750123023.,11
18707,60750180002.,60750123013.,11
11252,60750154011.,60759809001.,11
461,60750103001.,60750107021.,11
6418,60750123013.,60750615012.,11
24705,60750229011.,60759809001.,11
17483,60750177002.,60750178032.,11
3240,60750111022.,60759809001.,11
34142,60759809001.,60750253004.,11
3850,60750117003.,60750117004.,11
18258,60750178043.,60750176031.,11
24599,60750228032.,60750615011.,11
3812,60750117002.,60750615012.,11
24674,60750229011.,60750209001.,11
15358,60750168021.,60759809001.,11
26238,60750258002.,60750257022.,11
22888,60750209002.,60759809001.,11
32581,60750615012.,60750117003.,11
